state_id,primitive,context,hash_required,audit_required,rollback_point,ethical_check,description
PRIM_ramdisk_load_CTX_boot,ramdisk_load,boot,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in boot context
PRIM_ramdisk_load_CTX_runtime,ramdisk_load,runtime,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in runtime context
PRIM_ramdisk_load_CTX_install,ramdisk_load,install,CONDITIONAL,YES,NO,YES,ramdisk_load operation in install context
PRIM_ramdisk_load_CTX_update,ramdisk_load,update,CONDITIONAL,YES,NO,YES,ramdisk_load operation in update context
PRIM_ramdisk_load_CTX_debug,ramdisk_load,debug,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in debug context
PRIM_ramdisk_load_CTX_kernel,ramdisk_load,kernel,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in kernel context
PRIM_ramdisk_load_CTX_cpu,ramdisk_load,cpu,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in cpu context
PRIM_ramdisk_load_CTX_irq,ramdisk_load,irq,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in irq context
PRIM_ramdisk_load_CTX_network,ramdisk_load,network,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in network context
PRIM_ramdisk_load_CTX_logs,ramdisk_load,logs,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in logs context
PRIM_ramdisk_load_CTX_rollback,ramdisk_load,rollback,CONDITIONAL,YES,NO,YES,ramdisk_load operation in rollback context
PRIM_ramdisk_load_CTX_audit,ramdisk_load,audit,CONDITIONAL,YES,NO,YES,ramdisk_load operation in audit context
PRIM_ramdisk_load_CTX_selinux,ramdisk_load,selinux,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in selinux context
PRIM_ramdisk_load_CTX_seccomp,ramdisk_load,seccomp,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in seccomp context
PRIM_ramdisk_load_CTX_ebpf,ramdisk_load,ebpf,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in ebpf context
PRIM_ramdisk_load_CTX_tmpfs,ramdisk_load,tmpfs,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in tmpfs context
PRIM_ramdisk_load_CTX_cache,ramdisk_load,cache,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in cache context
PRIM_ramdisk_load_CTX_db,ramdisk_load,db,CONDITIONAL,CONDITIONAL,NO,YES,ramdisk_load operation in db context
PRIM_magiskinit_load_CTX_boot,magiskinit_load,boot,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in boot context
PRIM_magiskinit_load_CTX_runtime,magiskinit_load,runtime,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in runtime context
PRIM_magiskinit_load_CTX_install,magiskinit_load,install,CONDITIONAL,YES,NO,YES,magiskinit_load operation in install context
PRIM_magiskinit_load_CTX_update,magiskinit_load,update,CONDITIONAL,YES,NO,YES,magiskinit_load operation in update context
PRIM_magiskinit_load_CTX_debug,magiskinit_load,debug,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in debug context
PRIM_magiskinit_load_CTX_kernel,magiskinit_load,kernel,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in kernel context
PRIM_magiskinit_load_CTX_cpu,magiskinit_load,cpu,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in cpu context
PRIM_magiskinit_load_CTX_irq,magiskinit_load,irq,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in irq context
PRIM_magiskinit_load_CTX_network,magiskinit_load,network,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in network context
PRIM_magiskinit_load_CTX_logs,magiskinit_load,logs,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in logs context
PRIM_magiskinit_load_CTX_rollback,magiskinit_load,rollback,CONDITIONAL,YES,NO,YES,magiskinit_load operation in rollback context
PRIM_magiskinit_load_CTX_audit,magiskinit_load,audit,CONDITIONAL,YES,NO,YES,magiskinit_load operation in audit context
PRIM_magiskinit_load_CTX_selinux,magiskinit_load,selinux,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in selinux context
PRIM_magiskinit_load_CTX_seccomp,magiskinit_load,seccomp,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in seccomp context
PRIM_magiskinit_load_CTX_ebpf,magiskinit_load,ebpf,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in ebpf context
PRIM_magiskinit_load_CTX_tmpfs,magiskinit_load,tmpfs,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in tmpfs context
PRIM_magiskinit_load_CTX_cache,magiskinit_load,cache,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in cache context
PRIM_magiskinit_load_CTX_db,magiskinit_load,db,CONDITIONAL,CONDITIONAL,NO,YES,magiskinit_load operation in db context
PRIM_selinux_patch_CTX_boot,selinux_patch,boot,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in boot context
PRIM_selinux_patch_CTX_runtime,selinux_patch,runtime,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in runtime context
PRIM_selinux_patch_CTX_install,selinux_patch,install,CONDITIONAL,YES,YES,YES,selinux_patch operation in install context
PRIM_selinux_patch_CTX_update,selinux_patch,update,CONDITIONAL,YES,YES,YES,selinux_patch operation in update context
PRIM_selinux_patch_CTX_debug,selinux_patch,debug,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in debug context
PRIM_selinux_patch_CTX_kernel,selinux_patch,kernel,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in kernel context
PRIM_selinux_patch_CTX_cpu,selinux_patch,cpu,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in cpu context
PRIM_selinux_patch_CTX_irq,selinux_patch,irq,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in irq context
PRIM_selinux_patch_CTX_network,selinux_patch,network,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in network context
PRIM_selinux_patch_CTX_logs,selinux_patch,logs,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in logs context
PRIM_selinux_patch_CTX_rollback,selinux_patch,rollback,CONDITIONAL,YES,YES,YES,selinux_patch operation in rollback context
PRIM_selinux_patch_CTX_audit,selinux_patch,audit,CONDITIONAL,YES,YES,YES,selinux_patch operation in audit context
PRIM_selinux_patch_CTX_selinux,selinux_patch,selinux,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in selinux context
PRIM_selinux_patch_CTX_seccomp,selinux_patch,seccomp,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in seccomp context
PRIM_selinux_patch_CTX_ebpf,selinux_patch,ebpf,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in ebpf context
PRIM_selinux_patch_CTX_tmpfs,selinux_patch,tmpfs,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in tmpfs context
PRIM_selinux_patch_CTX_cache,selinux_patch,cache,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in cache context
PRIM_selinux_patch_CTX_db,selinux_patch,db,CONDITIONAL,CONDITIONAL,YES,YES,selinux_patch operation in db context
PRIM_dtb_patch_CTX_boot,dtb_patch,boot,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in boot context
PRIM_dtb_patch_CTX_runtime,dtb_patch,runtime,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in runtime context
PRIM_dtb_patch_CTX_install,dtb_patch,install,CONDITIONAL,YES,NO,YES,dtb_patch operation in install context
PRIM_dtb_patch_CTX_update,dtb_patch,update,CONDITIONAL,YES,NO,YES,dtb_patch operation in update context
PRIM_dtb_patch_CTX_debug,dtb_patch,debug,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in debug context
PRIM_dtb_patch_CTX_kernel,dtb_patch,kernel,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in kernel context
PRIM_dtb_patch_CTX_cpu,dtb_patch,cpu,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in cpu context
PRIM_dtb_patch_CTX_irq,dtb_patch,irq,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in irq context
PRIM_dtb_patch_CTX_network,dtb_patch,network,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in network context
PRIM_dtb_patch_CTX_logs,dtb_patch,logs,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in logs context
PRIM_dtb_patch_CTX_rollback,dtb_patch,rollback,CONDITIONAL,YES,NO,YES,dtb_patch operation in rollback context
PRIM_dtb_patch_CTX_audit,dtb_patch,audit,CONDITIONAL,YES,NO,YES,dtb_patch operation in audit context
PRIM_dtb_patch_CTX_selinux,dtb_patch,selinux,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in selinux context
PRIM_dtb_patch_CTX_seccomp,dtb_patch,seccomp,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in seccomp context
PRIM_dtb_patch_CTX_ebpf,dtb_patch,ebpf,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in ebpf context
PRIM_dtb_patch_CTX_tmpfs,dtb_patch,tmpfs,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in tmpfs context
PRIM_dtb_patch_CTX_cache,dtb_patch,cache,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in cache context
PRIM_dtb_patch_CTX_db,dtb_patch,db,CONDITIONAL,CONDITIONAL,NO,YES,dtb_patch operation in db context
PRIM_avb_patch_CTX_boot,avb_patch,boot,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in boot context
PRIM_avb_patch_CTX_runtime,avb_patch,runtime,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in runtime context
PRIM_avb_patch_CTX_install,avb_patch,install,CONDITIONAL,YES,NO,YES,avb_patch operation in install context
PRIM_avb_patch_CTX_update,avb_patch,update,CONDITIONAL,YES,NO,YES,avb_patch operation in update context
PRIM_avb_patch_CTX_debug,avb_patch,debug,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in debug context
PRIM_avb_patch_CTX_kernel,avb_patch,kernel,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in kernel context
PRIM_avb_patch_CTX_cpu,avb_patch,cpu,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in cpu context
PRIM_avb_patch_CTX_irq,avb_patch,irq,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in irq context
PRIM_avb_patch_CTX_network,avb_patch,network,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in network context
PRIM_avb_patch_CTX_logs,avb_patch,logs,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in logs context
PRIM_avb_patch_CTX_rollback,avb_patch,rollback,CONDITIONAL,YES,NO,YES,avb_patch operation in rollback context
PRIM_avb_patch_CTX_audit,avb_patch,audit,CONDITIONAL,YES,NO,YES,avb_patch operation in audit context
PRIM_avb_patch_CTX_selinux,avb_patch,selinux,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in selinux context
PRIM_avb_patch_CTX_seccomp,avb_patch,seccomp,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in seccomp context
PRIM_avb_patch_CTX_ebpf,avb_patch,ebpf,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in ebpf context
PRIM_avb_patch_CTX_tmpfs,avb_patch,tmpfs,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in tmpfs context
PRIM_avb_patch_CTX_cache,avb_patch,cache,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in cache context
PRIM_avb_patch_CTX_db,avb_patch,db,CONDITIONAL,CONDITIONAL,NO,YES,avb_patch operation in db context
PRIM_compression_handle_CTX_boot,compression_handle,boot,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in boot context
PRIM_compression_handle_CTX_runtime,compression_handle,runtime,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in runtime context
PRIM_compression_handle_CTX_install,compression_handle,install,CONDITIONAL,YES,NO,YES,compression_handle operation in install context
PRIM_compression_handle_CTX_update,compression_handle,update,CONDITIONAL,YES,NO,YES,compression_handle operation in update context
PRIM_compression_handle_CTX_debug,compression_handle,debug,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in debug context
PRIM_compression_handle_CTX_kernel,compression_handle,kernel,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in kernel context
PRIM_compression_handle_CTX_cpu,compression_handle,cpu,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in cpu context
PRIM_compression_handle_CTX_irq,compression_handle,irq,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in irq context
PRIM_compression_handle_CTX_network,compression_handle,network,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in network context
PRIM_compression_handle_CTX_logs,compression_handle,logs,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in logs context
PRIM_compression_handle_CTX_rollback,compression_handle,rollback,CONDITIONAL,YES,NO,YES,compression_handle operation in rollback context
PRIM_compression_handle_CTX_audit,compression_handle,audit,CONDITIONAL,YES,NO,YES,compression_handle operation in audit context
PRIM_compression_handle_CTX_selinux,compression_handle,selinux,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in selinux context
PRIM_compression_handle_CTX_seccomp,compression_handle,seccomp,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in seccomp context
PRIM_compression_handle_CTX_ebpf,compression_handle,ebpf,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in ebpf context
PRIM_compression_handle_CTX_tmpfs,compression_handle,tmpfs,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in tmpfs context
PRIM_compression_handle_CTX_cache,compression_handle,cache,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in cache context
PRIM_compression_handle_CTX_db,compression_handle,db,CONDITIONAL,CONDITIONAL,NO,YES,compression_handle operation in db context
PRIM_boot_verify_CTX_boot,boot_verify,boot,YES,CONDITIONAL,NO,YES,boot_verify operation in boot context
PRIM_boot_verify_CTX_runtime,boot_verify,runtime,YES,CONDITIONAL,NO,YES,boot_verify operation in runtime context
PRIM_boot_verify_CTX_install,boot_verify,install,YES,YES,NO,YES,boot_verify operation in install context
PRIM_boot_verify_CTX_update,boot_verify,update,YES,YES,NO,YES,boot_verify operation in update context
PRIM_boot_verify_CTX_debug,boot_verify,debug,YES,CONDITIONAL,NO,YES,boot_verify operation in debug context
PRIM_boot_verify_CTX_kernel,boot_verify,kernel,YES,CONDITIONAL,NO,YES,boot_verify operation in kernel context
PRIM_boot_verify_CTX_cpu,boot_verify,cpu,YES,CONDITIONAL,NO,YES,boot_verify operation in cpu context
PRIM_boot_verify_CTX_irq,boot_verify,irq,YES,CONDITIONAL,NO,YES,boot_verify operation in irq context
PRIM_boot_verify_CTX_network,boot_verify,network,YES,CONDITIONAL,NO,YES,boot_verify operation in network context
PRIM_boot_verify_CTX_logs,boot_verify,logs,YES,CONDITIONAL,NO,YES,boot_verify operation in logs context
PRIM_boot_verify_CTX_rollback,boot_verify,rollback,YES,YES,NO,YES,boot_verify operation in rollback context
PRIM_boot_verify_CTX_audit,boot_verify,audit,YES,YES,NO,YES,boot_verify operation in audit context
PRIM_boot_verify_CTX_selinux,boot_verify,selinux,YES,CONDITIONAL,NO,YES,boot_verify operation in selinux context
PRIM_boot_verify_CTX_seccomp,boot_verify,seccomp,YES,CONDITIONAL,NO,YES,boot_verify operation in seccomp context
PRIM_boot_verify_CTX_ebpf,boot_verify,ebpf,YES,CONDITIONAL,NO,YES,boot_verify operation in ebpf context
PRIM_boot_verify_CTX_tmpfs,boot_verify,tmpfs,YES,CONDITIONAL,NO,YES,boot_verify operation in tmpfs context
PRIM_boot_verify_CTX_cache,boot_verify,cache,YES,CONDITIONAL,NO,YES,boot_verify operation in cache context
PRIM_boot_verify_CTX_db,boot_verify,db,YES,CONDITIONAL,NO,YES,boot_verify operation in db context
PRIM_daemon_start_CTX_boot,daemon_start,boot,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in boot context
PRIM_daemon_start_CTX_runtime,daemon_start,runtime,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in runtime context
PRIM_daemon_start_CTX_install,daemon_start,install,CONDITIONAL,YES,NO,YES,daemon_start operation in install context
PRIM_daemon_start_CTX_update,daemon_start,update,CONDITIONAL,YES,NO,YES,daemon_start operation in update context
PRIM_daemon_start_CTX_debug,daemon_start,debug,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in debug context
PRIM_daemon_start_CTX_kernel,daemon_start,kernel,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in kernel context
PRIM_daemon_start_CTX_cpu,daemon_start,cpu,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in cpu context
PRIM_daemon_start_CTX_irq,daemon_start,irq,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in irq context
PRIM_daemon_start_CTX_network,daemon_start,network,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in network context
PRIM_daemon_start_CTX_logs,daemon_start,logs,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in logs context
PRIM_daemon_start_CTX_rollback,daemon_start,rollback,CONDITIONAL,YES,NO,YES,daemon_start operation in rollback context
PRIM_daemon_start_CTX_audit,daemon_start,audit,CONDITIONAL,YES,NO,YES,daemon_start operation in audit context
PRIM_daemon_start_CTX_selinux,daemon_start,selinux,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in selinux context
PRIM_daemon_start_CTX_seccomp,daemon_start,seccomp,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in seccomp context
PRIM_daemon_start_CTX_ebpf,daemon_start,ebpf,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in ebpf context
PRIM_daemon_start_CTX_tmpfs,daemon_start,tmpfs,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in tmpfs context
PRIM_daemon_start_CTX_cache,daemon_start,cache,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in cache context
PRIM_daemon_start_CTX_db,daemon_start,db,CONDITIONAL,CONDITIONAL,NO,YES,daemon_start operation in db context
PRIM_daemon_stop_CTX_boot,daemon_stop,boot,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in boot context
PRIM_daemon_stop_CTX_runtime,daemon_stop,runtime,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in runtime context
PRIM_daemon_stop_CTX_install,daemon_stop,install,CONDITIONAL,YES,NO,YES,daemon_stop operation in install context
PRIM_daemon_stop_CTX_update,daemon_stop,update,CONDITIONAL,YES,NO,YES,daemon_stop operation in update context
PRIM_daemon_stop_CTX_debug,daemon_stop,debug,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in debug context
PRIM_daemon_stop_CTX_kernel,daemon_stop,kernel,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in kernel context
PRIM_daemon_stop_CTX_cpu,daemon_stop,cpu,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in cpu context
PRIM_daemon_stop_CTX_irq,daemon_stop,irq,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in irq context
PRIM_daemon_stop_CTX_network,daemon_stop,network,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in network context
PRIM_daemon_stop_CTX_logs,daemon_stop,logs,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in logs context
PRIM_daemon_stop_CTX_rollback,daemon_stop,rollback,CONDITIONAL,YES,NO,YES,daemon_stop operation in rollback context
PRIM_daemon_stop_CTX_audit,daemon_stop,audit,CONDITIONAL,YES,NO,YES,daemon_stop operation in audit context
PRIM_daemon_stop_CTX_selinux,daemon_stop,selinux,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in selinux context
PRIM_daemon_stop_CTX_seccomp,daemon_stop,seccomp,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in seccomp context
PRIM_daemon_stop_CTX_ebpf,daemon_stop,ebpf,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in ebpf context
PRIM_daemon_stop_CTX_tmpfs,daemon_stop,tmpfs,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in tmpfs context
PRIM_daemon_stop_CTX_cache,daemon_stop,cache,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in cache context
PRIM_daemon_stop_CTX_db,daemon_stop,db,CONDITIONAL,CONDITIONAL,NO,YES,daemon_stop operation in db context
PRIM_daemon_restart_CTX_boot,daemon_restart,boot,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in boot context
PRIM_daemon_restart_CTX_runtime,daemon_restart,runtime,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in runtime context
PRIM_daemon_restart_CTX_install,daemon_restart,install,CONDITIONAL,YES,NO,YES,daemon_restart operation in install context
PRIM_daemon_restart_CTX_update,daemon_restart,update,CONDITIONAL,YES,NO,YES,daemon_restart operation in update context
PRIM_daemon_restart_CTX_debug,daemon_restart,debug,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in debug context
PRIM_daemon_restart_CTX_kernel,daemon_restart,kernel,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in kernel context
PRIM_daemon_restart_CTX_cpu,daemon_restart,cpu,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in cpu context
PRIM_daemon_restart_CTX_irq,daemon_restart,irq,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in irq context
PRIM_daemon_restart_CTX_network,daemon_restart,network,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in network context
PRIM_daemon_restart_CTX_logs,daemon_restart,logs,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in logs context
PRIM_daemon_restart_CTX_rollback,daemon_restart,rollback,CONDITIONAL,YES,NO,YES,daemon_restart operation in rollback context
PRIM_daemon_restart_CTX_audit,daemon_restart,audit,CONDITIONAL,YES,NO,YES,daemon_restart operation in audit context
PRIM_daemon_restart_CTX_selinux,daemon_restart,selinux,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in selinux context
PRIM_daemon_restart_CTX_seccomp,daemon_restart,seccomp,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in seccomp context
PRIM_daemon_restart_CTX_ebpf,daemon_restart,ebpf,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in ebpf context
PRIM_daemon_restart_CTX_tmpfs,daemon_restart,tmpfs,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in tmpfs context
PRIM_daemon_restart_CTX_cache,daemon_restart,cache,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in cache context
PRIM_daemon_restart_CTX_db,daemon_restart,db,CONDITIONAL,CONDITIONAL,NO,YES,daemon_restart operation in db context
PRIM_socket_create_CTX_boot,socket_create,boot,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in boot context
PRIM_socket_create_CTX_runtime,socket_create,runtime,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in runtime context
PRIM_socket_create_CTX_install,socket_create,install,CONDITIONAL,YES,NO,YES,socket_create operation in install context
PRIM_socket_create_CTX_update,socket_create,update,CONDITIONAL,YES,NO,YES,socket_create operation in update context
PRIM_socket_create_CTX_debug,socket_create,debug,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in debug context
PRIM_socket_create_CTX_kernel,socket_create,kernel,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in kernel context
PRIM_socket_create_CTX_cpu,socket_create,cpu,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in cpu context
PRIM_socket_create_CTX_irq,socket_create,irq,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in irq context
PRIM_socket_create_CTX_network,socket_create,network,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in network context
PRIM_socket_create_CTX_logs,socket_create,logs,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in logs context
PRIM_socket_create_CTX_rollback,socket_create,rollback,CONDITIONAL,YES,NO,YES,socket_create operation in rollback context
PRIM_socket_create_CTX_audit,socket_create,audit,CONDITIONAL,YES,NO,YES,socket_create operation in audit context
PRIM_socket_create_CTX_selinux,socket_create,selinux,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in selinux context
PRIM_socket_create_CTX_seccomp,socket_create,seccomp,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in seccomp context
PRIM_socket_create_CTX_ebpf,socket_create,ebpf,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in ebpf context
PRIM_socket_create_CTX_tmpfs,socket_create,tmpfs,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in tmpfs context
PRIM_socket_create_CTX_cache,socket_create,cache,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in cache context
PRIM_socket_create_CTX_db,socket_create,db,CONDITIONAL,CONDITIONAL,NO,YES,socket_create operation in db context
PRIM_socket_listen_CTX_boot,socket_listen,boot,CONDITIONAL,CONDITIONAL,NO,YES,socket_listen operation in boot context
PRIM_socket_listen_CTX_runtime,socket_listen,runtime,CONDITIONAL,CONDITIONAL,NO,YES,socket_listen operation in runtime context
